Gaps of 0s and 1s (Length, Start Position, Gap Type):
Gap Type: 0, Length: 3, Start Position: X3946
Gap Type: 0, Length: 6, Start Position: X3950
Gap Type: 0, Length: 1, Start Position: X3957
Gap Type: 0, Length: 2, Start Position: X3959
Gap Type: 0, Length: 1, Start Position: X3962
Gap Type: 0, Length: 1, Start Position: X3966
Gap Type: 0, Length: 1, Start Position: X3968
Gap Type: 0, Length: 1, Start Position: X3972
Gap Type: 0, Length: 5, Start Position: X3976
Gap Type: 0, Length: 3, Start Position: X3982
Gap Type: 0, Length: 1, Start Position: X3988
Gap Type: 0, Length: 1, Start Position: X3991
Gap Type: 0, Length: 1, Start Position: X3994
Gap Type: 0, Length: 2, Start Position: X3996
Gap Type: 0, Length: 1, Start Position: X3999
Gap Type: 0, Length: 1, Start Position: X4003
Gap Type: 0, Length: 1, Start Position: X4006
Gap Type: 0, Length: 2, Start Position: X4009
Gap Type: 0, Length: 2, Start Position: X4012
Gap Type: 0, Length: 2, Start Position: X4015
Gap Type: 0, Length: 2, Start Position: X4019
Gap Type: 0, Length: 2, Start Position: X4027
Gap Type: 0, Length: 3, Start Position: X4031
Gap Type: 0, Length: 1, Start Position: X4037
Gap Type: 0, Length: 6, Start Position: X4039
Gap Type: 0, Length: 4, Start Position: X4047
Gap Type: 0, Length: 1, Start Position: X4053
Gap Type: 0, Length: 3, Start Position: X4055
Gap Type: 0, Length: 1, Start Position: X4062
Gap Type: 0, Length: 2, Start Position: X4065
Gap Type: 0, Length: 2, Start Position: X4068
Gap Type: 0, Length: 1, Start Position: X4072
Gap Type: 0, Length: 2, Start Position: X4084
Gap Type: 0, Length: 1, Start Position: X4087
Gap Type: 0, Length: 4, Start Position: X4089
Gap Type: 0, Length: 3, Start Position: X4094
Gap Type: 0, Length: 2, Start Position: X4098
Gap Type: 0, Length: 1, Start Position: X4101
Gap Type: 0, Length: 1, Start Position: X4103
Gap Type: 0, Length: 1, Start Position: X4114
Gap Type: 0, Length: 1, Start Position: X4116
Gap Type: 0, Length: 1, Start Position: X4119
Gap Type: 0, Length: 2, Start Position: X4122
Gap Type: 0, Length: 2, Start Position: X4125
Gap Type: 0, Length: 3, Start Position: X4130
Gap Type: 0, Length: 1, Start Position: X4134
Gap Type: 0, Length: 1, Start Position: X4136
Gap Type: 0, Length: 3, Start Position: X4138
Gap Type: 0, Length: 1, Start Position: X4143
Gap Type: 0, Length: 1, Start Position: X4145
Gap Type: 0, Length: 1, Start Position: X4147
Gap Type: 0, Length: 2, Start Position: X4149
Gap Type: 0, Length: 10, Start Position: X4153
Gap Type: 0, Length: 4, Start Position: X4164
Gap Type: 0, Length: 3, Start Position: X4169
Gap Type: 0, Length: 1, Start Position: X4174
Gap Type: 0, Length: 5, Start Position: X4176
Gap Type: 0, Length: 2, Start Position: X4183
Gap Type: 0, Length: 2, Start Position: X4186
Gap Type: 0, Length: 2, Start Position: X4189
Gap Type: 0, Length: 2, Start Position: X4192
Gap Type: 0, Length: 2, Start Position: X4198
Gap Type: 0, Length: 1, Start Position: X4201
Gap Type: 0, Length: 4, Start Position: X4204
Gap Type: 0, Length: 1, Start Position: X4210
Gap Type: 0, Length: 1, Start Position: X4212
Gap Type: 0, Length: 3, Start Position: X4219
Gap Type: 0, Length: 1, Start Position: X4228
Gap Type: 0, Length: 2, Start Position: X4235
Gap Type: 0, Length: 1, Start Position: X4239
Gap Type: 0, Length: 6, Start Position: X4241
Gap Type: 0, Length: 4, Start Position: X4252
Gap Type: 0, Length: 3, Start Position: X4257
Gap Type: 0, Length: 3, Start Position: X4261
Gap Type: 0, Length: 4, Start Position: X4265
Gap Type: 0, Length: 1, Start Position: X4273
Gap Type: 0, Length: 2, Start Position: X4276
Gap Type: 0, Length: 3, Start Position: X4279
Gap Type: 0, Length: 1, Start Position: X4283
Gap Type: 0, Length: 1, Start Position: X4285
Gap Type: 0, Length: 1, Start Position: X4292
Gap Type: 0, Length: 2, Start Position: X4298
Gap Type: 0, Length: 1, Start Position: X4304
Gap Type: 0, Length: 5, Start Position: X4306
Gap Type: 0, Length: 1, Start Position: X4315
Gap Type: 0, Length: 1, Start Position: X4319
Gap Type: 0, Length: 1, Start Position: X4321
Gap Type: 0, Length: 1, Start Position: X4324
Gap Type: 0, Length: 4, Start Position: X4326
Gap Type: 0, Length: 2, Start Position: X4331
Gap Type: 0, Length: 1, Start Position: X4336
Gap Type: 0, Length: 1, Start Position: X4338
Gap Type: 0, Length: 3, Start Position: X4340
Gap Type: 0, Length: 3, Start Position: X4344
Gap Type: 0, Length: 4, Start Position: X4349
Gap Type: 0, Length: 2, Start Position: X4354
Gap Type: 0, Length: 1, Start Position: X4358
Gap Type: 0, Length: 1, Start Position: X4360
Gap Type: 0, Length: 4, Start Position: X4362
Gap Type: 0, Length: 1, Start Position: X4367
Gap Type: 0, Length: 2, Start Position: X4370
Gap Type: 0, Length: 3, Start Position: X4373
Gap Type: 0, Length: 2, Start Position: X4377
Gap Type: 0, Length: 2, Start Position: X4381
Gap Type: 0, Length: 2, Start Position: X4385
Gap Type: 0, Length: 1, Start Position: X4388
Gap Type: 0, Length: 1, Start Position: X4390
Gap Type: 0, Length: 1, Start Position: X4392
Gap Type: 0, Length: 2, Start Position: X4394
Gap Type: 0, Length: 1, Start Position: X4397
Gap Type: 0, Length: 4, Start Position: X4399
Gap Type: 0, Length: 1, Start Position: X4406
Gap Type: 0, Length: 1, Start Position: X4408
Gap Type: 0, Length: 3, Start Position: X4412
Gap Type: 0, Length: 1, Start Position: X4417
Gap Type: 0, Length: 1, Start Position: X4420
Gap Type: 0, Length: 2, Start Position: X4423
Gap Type: 0, Length: 2, Start Position: X4432
Gap Type: 0, Length: 1, Start Position: X4435
Gap Type: 0, Length: 2, Start Position: X4438
Gap Type: 0, Length: 1, Start Position: X4443
Gap Type: 0, Length: 1, Start Position: X4448
Gap Type: 0, Length: 1, Start Position: X4450
Gap Type: 0, Length: 1, Start Position: X4452
Gap Type: 0, Length: 2, Start Position: X4454
Gap Type: 0, Length: 1, Start Position: X4458
Gap Type: 0, Length: 2, Start Position: X4460
Gap Type: 0, Length: 3, Start Position: X4465
Gap Type: 0, Length: 2, Start Position: X4473
Gap Type: 0, Length: 4, Start Position: X4479
Gap Type: 0, Length: 2, Start Position: X4485
Gap Type: 0, Length: 1, Start Position: X4488
Gap Type: 0, Length: 2, Start Position: X4492
Gap Type: 0, Length: 1, Start Position: X4495
Gap Type: 0, Length: 2, Start Position: X4497
Gap Type: 0, Length: 5, Start Position: X4505
Gap Type: 0, Length: 3, Start Position: X4511
Gap Type: 0, Length: 2, Start Position: X4517
Gap Type: 0, Length: 2, Start Position: X4524
Gap Type: 0, Length: 1, Start Position: X4527
Gap Type: 0, Length: 2, Start Position: X4529
Gap Type: 0, Length: 2, Start Position: X4536
Gap Type: 0, Length: 2, Start Position: X4540
Gap Type: 0, Length: 2, Start Position: X4544
Gap Type: 0, Length: 1, Start Position: X4548
Gap Type: 0, Length: 1, Start Position: X4550
Gap Type: 0, Length: 2, Start Position: X4555
Gap Type: 0, Length: 1, Start Position: X4558
Gap Type: 0, Length: 2, Start Position: X4560
Gap Type: 0, Length: 2, Start Position: X4563
Gap Type: 0, Length: 2, Start Position: X4566
Gap Type: 0, Length: 1, Start Position: X4569
Gap Type: 0, Length: 1, Start Position: X4572
Gap Type: 0, Length: 1, Start Position: X4576
Gap Type: 0, Length: 4, Start Position: X4582
Gap Type: 0, Length: 2, Start Position: X4589
Gap Type: 0, Length: 1, Start Position: X4592
Gap Type: 0, Length: 2, Start Position: X4594
Gap Type: 0, Length: 2, Start Position: X4601
Gap Type: 0, Length: 1, Start Position: X4605
Gap Type: 0, Length: 2, Start Position: X4607
Gap Type: 0, Length: 1, Start Position: X4611
Gap Type: 0, Length: 4, Start Position: X4613
Gap Type: 0, Length: 2, Start Position: X4618
Gap Type: 0, Length: 6, Start Position: X4621
Gap Type: 0, Length: 1, Start Position: X4632
Gap Type: 0, Length: 2, Start Position: X4634
Gap Type: 0, Length: 1, Start Position: X4637
Gap Type: 0, Length: 4, Start Position: X4639
Gap Type: 0, Length: 1, Start Position: X4644
Gap Type: 0, Length: 1, Start Position: X4646
Gap Type: 0, Length: 1, Start Position: X4648
Gap Type: 0, Length: 2, Start Position: X4650
Gap Type: 0, Length: 1, Start Position: X4656
Gap Type: 0, Length: 1, Start Position: X4659
Gap Type: 0, Length: 2, Start Position: X4661
Gap Type: 0, Length: 1, Start Position: X4664
Gap Type: 0, Length: 1, Start Position: X4667
Gap Type: 0, Length: 2, Start Position: X4669
Gap Type: 0, Length: 1, Start Position: X4673
Gap Type: 0, Length: 2, Start Position: X4675
Gap Type: 0, Length: 1, Start Position: X4679
Gap Type: 0, Length: 1, Start Position: X4681
Gap Type: 0, Length: 2, Start Position: X4683
Gap Type: 0, Length: 4, Start Position: X4689
Gap Type: 0, Length: 1, Start Position: X4694
Gap Type: 0, Length: 2, Start Position: X4696
Gap Type: 0, Length: 1, Start Position: X4701
Gap Type: 0, Length: 1, Start Position: X4705
Gap Type: 0, Length: 2, Start Position: X4711
Gap Type: 0, Length: 4, Start Position: X4714
Gap Type: 0, Length: 2, Start Position: X4720
Gap Type: 0, Length: 4, Start Position: X4723
Gap Type: 0, Length: 2, Start Position: X4728
Gap Type: 0, Length: 1, Start Position: X4731
Gap Type: 0, Length: 1, Start Position: X4733
Gap Type: 0, Length: 2, Start Position: X4737
Gap Type: 0, Length: 3, Start Position: X4741
Gap Type: 0, Length: 1, Start Position: X4746
Gap Type: 0, Length: 1, Start Position: X4748
Gap Type: 0, Length: 3, Start Position: X4750
Gap Type: 0, Length: 3, Start Position: X4758
Gap Type: 0, Length: 2, Start Position: X4763
Gap Type: 0, Length: 1, Start Position: X4767
Gap Type: 0, Length: 1, Start Position: X4770
Gap Type: 0, Length: 3, Start Position: X4772
Gap Type: 0, Length: 1, Start Position: X4776
Gap Type: 0, Length: 1, Start Position: X4779
Gap Type: 0, Length: 2, Start Position: X4781
Gap Type: 0, Length: 2, Start Position: X4785
Gap Type: 0, Length: 4, Start Position: X4793
Gap Type: 0, Length: 1, Start Position: X4798
Gap Type: 0, Length: 2, Start Position: X4804
Gap Type: 0, Length: 3, Start Position: X4808
Gap Type: 0, Length: 1, Start Position: X4814
Gap Type: 0, Length: 1, Start Position: X4817
Gap Type: 0, Length: 1, Start Position: X4819
Gap Type: 0, Length: 1, Start Position: X4823
Gap Type: 0, Length: 2, Start Position: X4825
Gap Type: 0, Length: 3, Start Position: X4829
Gap Type: 0, Length: 1, Start Position: X4834
Gap Type: 0, Length: 3, Start Position: X4836
Gap Type: 0, Length: 1, Start Position: X4841
Gap Type: 0, Length: 1, Start Position: X4844
Gap Type: 0, Length: 1, Start Position: X4848
Gap Type: 0, Length: 2, Start Position: X4851
Gap Type: 0, Length: 1, Start Position: X4854
Gap Type: 0, Length: 2, Start Position: X4856
Gap Type: 0, Length: 1, Start Position: X4860
Gap Type: 0, Length: 1, Start Position: X4862
Gap Type: 0, Length: 1, Start Position: X4866
Gap Type: 0, Length: 1, Start Position: X4868
Gap Type: 0, Length: 4, Start Position: X4870
Gap Type: 0, Length: 6, Start Position: X4875
Gap Type: 0, Length: 4, Start Position: X4884
Gap Type: 0, Length: 2, Start Position: X4894
Gap Type: 0, Length: 2, Start Position: X4901
Gap Type: 0, Length: 3, Start Position: X4906
Gap Type: 0, Length: 1, Start Position: X4912
Gap Type: 0, Length: 1, Start Position: X4914
Gap Type: 0, Length: 2, Start Position: X4917
Gap Type: 0, Length: 3, Start Position: X4921
Gap Type: 0, Length: 1, Start Position: X4926
Gap Type: 0, Length: 1, Start Position: X4929
Gap Type: 0, Length: 4, Start Position: X4931
Gap Type: 0, Length: 6, Start Position: X4939
Gap Type: 0, Length: 5, Start Position: X4946
Gap Type: 0, Length: 1, Start Position: X4956
Gap Type: 0, Length: 1, Start Position: X4959
Gap Type: 0, Length: 2, Start Position: X4961
Gap Type: 0, Length: 3, Start Position: X4964
Gap Type: 0, Length: 7, Start Position: X4969
Gap Type: 0, Length: 3, Start Position: X4978
Gap Type: 0, Length: 1, Start Position: X4983
Gap Type: 0, Length: 2, Start Position: X4986
Gap Type: 0, Length: 3, Start Position: X4989
Gap Type: 0, Length: 1, Start Position: X4993
Gap Type: 0, Length: 3, Start Position: X4996
Gap Type: 0, Length: 2, Start Position: X5000
Gap Type: 0, Length: 2, Start Position: X5009
Gap Type: 0, Length: 2, Start Position: X5012
Gap Type: 0, Length: 1, Start Position: X5021
Gap Type: 0, Length: 3, Start Position: X5024
Gap Type: 0, Length: 6, Start Position: X5028
Gap Type: 0, Length: 1, Start Position: X5036
Gap Type: 0, Length: 1, Start Position: X5039
Gap Type: 0, Length: 1, Start Position: X5043
Gap Type: 0, Length: 1, Start Position: X5045
Gap Type: 0, Length: 1, Start Position: X5048
Gap Type: 0, Length: 4, Start Position: X5050
Gap Type: 0, Length: 3, Start Position: X5055
Gap Type: 0, Length: 6, Start Position: X5060
Gap Type: 0, Length: 1, Start Position: X5067
Gap Type: 0, Length: 1, Start Position: X5072
Gap Type: 0, Length: 2, Start Position: X5077
Gap Type: 0, Length: 2, Start Position: X5081
Gap Type: 0, Length: 3, Start Position: X5085
Gap Type: 0, Length: 4, Start Position: X5089
Gap Type: 0, Length: 1, Start Position: X5094
Gap Type: 0, Length: 2, Start Position: X5096
Gap Type: 0, Length: 1, Start Position: X5102
Gap Type: 0, Length: 2, Start Position: X5104
Gap Type: 0, Length: 3, Start Position: X5110
Gap Type: 0, Length: 3, Start Position: X5115
Gap Type: 0, Length: 2, Start Position: X5119
Gap Type: 0, Length: 2, Start Position: X5122
Gap Type: 0, Length: 1, Start Position: X5126
Gap Type: 0, Length: 2, Start Position: X5128
Gap Type: 0, Length: 2, Start Position: X5131
Gap Type: 0, Length: 4, Start Position: X5136
Gap Type: 0, Length: 1, Start Position: X5141
Gap Type: 0, Length: 1, Start Position: X5145
Gap Type: 0, Length: 5, Start Position: X5147
Gap Type: 0, Length: 1, Start Position: X5153
Gap Type: 0, Length: 1, Start Position: X5155
Gap Type: 0, Length: 3, Start Position: X5158
Gap Type: 0, Length: 1, Start Position: X5162
Gap Type: 0, Length: 4, Start Position: X5164
Gap Type: 0, Length: 1, Start Position: X5171
Gap Type: 0, Length: 2, Start Position: X5176
Gap Type: 0, Length: 1, Start Position: X5180
Gap Type: 0, Length: 1, Start Position: X5182
Gap Type: 0, Length: 1, Start Position: X5193
Gap Type: 0, Length: 1, Start Position: X5200
Gap Type: 0, Length: 3, Start Position: X5203
Gap Type: 0, Length: 2, Start Position: X5207
Gap Type: 0, Length: 2, Start Position: X5210
Gap Type: 0, Length: 1, Start Position: X5217
Gap Type: 0, Length: 3, Start Position: X5219
Gap Type: 0, Length: 2, Start Position: X5223
Gap Type: 0, Length: 3, Start Position: X5232
Gap Type: 0, Length: 2, Start Position: X5236
Gap Type: 0, Length: 1, Start Position: X5239
Gap Type: 0, Length: 2, Start Position: X5242
Gap Type: 0, Length: 1, Start Position: X5247
Gap Type: 0, Length: 2, Start Position: X5249
Gap Type: 0, Length: 2, Start Position: X5255
Gap Type: 0, Length: 1, Start Position: X5258
Gap Type: 0, Length: 4, Start Position: X5261
Gap Type: 0, Length: 1, Start Position: X5266
Gap Type: 0, Length: 5, Start Position: X5269
Gap Type: 0, Length: 2, Start Position: X5276
Gap Type: 0, Length: 2, Start Position: X5279
Gap Type: 0, Length: 1, Start Position: X5282
Gap Type: 0, Length: 2, Start Position: X5284
Gap Type: 0, Length: 2, Start Position: X5287
Gap Type: 0, Length: 1, Start Position: X5290
Gap Type: 0, Length: 2, Start Position: X5292
Gap Type: 0, Length: 3, Start Position: X5295
Gap Type: 0, Length: 1, Start Position: X5299
Gap Type: 0, Length: 1, Start Position: X5301
Gap Type: 0, Length: 1, Start Position: X5304
Gap Type: 0, Length: 2, Start Position: X5306
Gap Type: 0, Length: 2, Start Position: X5310
Gap Type: 0, Length: 4, Start Position: X5318
Gap Type: 0, Length: 1, Start Position: X5324
Gap Type: 0, Length: 2, Start Position: X5327
Gap Type: 0, Length: 2, Start Position: X5335
Gap Type: 0, Length: 1, Start Position: X5339
Gap Type: 0, Length: 2, Start Position: X5342
Gap Type: 0, Length: 5, Start Position: X5351
Gap Type: 0, Length: 1, Start Position: X5362
Gap Type: 0, Length: 2, Start Position: X5365
Gap Type: 0, Length: 2, Start Position: X5368
Gap Type: 0, Length: 4, Start Position: X5372
Gap Type: 0, Length: 1, Start Position: X5377
Gap Type: 0, Length: 1, Start Position: X5380
Gap Type: 0, Length: 2, Start Position: X5382
Gap Type: 0, Length: 2, Start Position: X5388
Gap Type: 0, Length: 2, Start Position: X5394
Gap Type: 0, Length: 3, Start Position: X5398
Gap Type: 0, Length: 2, Start Position: X5402
Gap Type: 0, Length: 1, Start Position: X5407
Gap Type: 0, Length: 1, Start Position: X5412
Gap Type: 0, Length: 2, Start Position: X5414
Gap Type: 0, Length: 2, Start Position: X5418
Gap Type: 0, Length: 1, Start Position: X5421
Gap Type: 0, Length: 1, Start Position: X5423
Gap Type: 0, Length: 1, Start Position: X5426
Gap Type: 0, Length: 5, Start Position: X5430
Gap Type: 0, Length: 1, Start Position: X5436
Gap Type: 0, Length: 1, Start Position: X5438
Gap Type: 0, Length: 2, Start Position: X5441
Gap Type: 0, Length: 2, Start Position: X5444
Gap Type: 0, Length: 1, Start Position: X5447
Gap Type: 0, Length: 3, Start Position: X5450
Gap Type: 0, Length: 2, Start Position: X5456
Gap Type: 0, Length: 1, Start Position: X5459
Gap Type: 0, Length: 1, Start Position: X5461
Gap Type: 0, Length: 1, Start Position: X5463
Gap Type: 0, Length: 3, Start Position: X5465
Gap Type: 0, Length: 1, Start Position: X5470
Gap Type: 0, Length: 4, Start Position: X5472
Gap Type: 0, Length: 2, Start Position: X5477
Gap Type: 0, Length: 1, Start Position: X5481
Gap Type: 0, Length: 3, Start Position: X5483
Gap Type: 0, Length: 1, Start Position: X5487
Gap Type: 0, Length: 1, Start Position: X5493
Gap Type: 0, Length: 4, Start Position: X5496
Gap Type: 0, Length: 2, Start Position: X5501
Gap Type: 0, Length: 1, Start Position: X5506
Gap Type: 0, Length: 4, Start Position: X5510
Gap Type: 0, Length: 5, Start Position: X5515
Gap Type: 0, Length: 1, Start Position: X5521
Gap Type: 0, Length: 3, Start Position: X5523
Gap Type: 0, Length: 2, Start Position: X5529
Gap Type: 0, Length: 4, Start Position: X5532
Gap Type: 0, Length: 1, Start Position: X5537
Gap Type: 0, Length: 2, Start Position: X5539
Gap Type: 0, Length: 1, Start Position: X5543
Gap Type: 0, Length: 2, Start Position: X5545
Gap Type: 0, Length: 1, Start Position: X5548
Gap Type: 0, Length: 1, Start Position: X5553
Gap Type: 0, Length: 1, Start Position: X5555
Gap Type: 0, Length: 1, Start Position: X5558
Gap Type: 0, Length: 1, Start Position: X5561
Gap Type: 0, Length: 3, Start Position: X5564
Gap Type: 0, Length: 3, Start Position: X5571
Gap Type: 0, Length: 4, Start Position: X5577
Gap Type: 0, Length: 3, Start Position: X5583
Gap Type: 0, Length: 1, Start Position: X5587
Gap Type: 0, Length: 3, Start Position: X5591
Gap Type: 0, Length: 1, Start Position: X5595
Gap Type: 0, Length: 3, Start Position: X5598
Gap Type: 0, Length: 1, Start Position: X5602
Gap Type: 0, Length: 1, Start Position: X5604
Gap Type: 0, Length: 4, Start Position: X5607
Gap Type: 0, Length: 1, Start Position: X5614
Gap Type: 0, Length: 3, Start Position: X5617
Gap Type: 0, Length: 4, Start Position: X5621
Gap Type: 0, Length: 4, Start Position: X5627
Gap Type: 0, Length: 1, Start Position: X5634
Gap Type: 0, Length: 1, Start Position: X5636
Gap Type: 0, Length: 3, Start Position: X5643
Gap Type: 0, Length: 3, Start Position: X5649
Gap Type: 0, Length: 2, Start Position: X5653
Gap Type: 0, Length: 1, Start Position: X5658
Gap Type: 0, Length: 1, Start Position: X5662
Gap Type: 0, Length: 2, Start Position: X5665
Gap Type: 0, Length: 1, Start Position: X5668
Gap Type: 0, Length: 4, Start Position: X5670
Gap Type: 0, Length: 5, Start Position: X5675
Gap Type: 0, Length: 4, Start Position: X5682
Gap Type: 0, Length: 1, Start Position: X5687
Gap Type: 0, Length: 1, Start Position: X5690
Gap Type: 0, Length: 2, Start Position: X5694
Gap Type: 0, Length: 4, Start Position: X5698
Gap Type: 0, Length: 1, Start Position: X5703
Gap Type: 0, Length: 4, Start Position: X5705
Gap Type: 0, Length: 1, Start Position: X5710
Gap Type: 0, Length: 1, Start Position: X5713
Gap Type: 0, Length: 1, Start Position: X5716
Gap Type: 0, Length: 3, Start Position: X5720
Gap Type: 0, Length: 4, Start Position: X5727
Gap Type: 0, Length: 1, Start Position: X5734
Gap Type: 0, Length: 1, Start Position: X5736
Gap Type: 0, Length: 5, Start Position: X5739
Gap Type: 0, Length: 1, Start Position: X5745
Gap Type: 0, Length: 1, Start Position: X5748
Gap Type: 0, Length: 1, Start Position: X5753
Gap Type: 0, Length: 1, Start Position: X5755
Gap Type: 0, Length: 1, Start Position: X5759
Gap Type: 0, Length: 3, Start Position: X5761
Gap Type: 0, Length: 1, Start Position: X5765
Gap Type: 0, Length: 1, Start Position: X5767
Gap Type: 0, Length: 2, Start Position: X5774
Gap Type: 0, Length: 4, Start Position: X5777
Gap Type: 0, Length: 1, Start Position: X5783
Gap Type: 0, Length: 3, Start Position: X5787
Gap Type: 0, Length: 4, Start Position: X5791
Gap Type: 0, Length: 1, Start Position: X5796
Gap Type: 0, Length: 2, Start Position: X5799
Gap Type: 0, Length: 1, Start Position: X5803
Gap Type: 0, Length: 2, Start Position: X5805
Gap Type: 0, Length: 2, Start Position: X5808
Gap Type: 0, Length: 1, Start Position: X5811
Gap Type: 0, Length: 1, Start Position: X5814
Gap Type: 0, Length: 5, Start Position: X5817
Gap Type: 0, Length: 1, Start Position: X5823
Gap Type: 0, Length: 4, Start Position: X5825
Gap Type: 0, Length: 1, Start Position: X5831
Gap Type: 0, Length: 1, Start Position: X5834
Gap Type: 0, Length: 1, Start Position: X5836
Gap Type: 0, Length: 1, Start Position: X5838
Gap Type: 0, Length: 1, Start Position: X5842
Gap Type: 0, Length: 1, Start Position: X5845
Gap Type: 0, Length: 1, Start Position: X5848
Gap Type: 0, Length: 2, Start Position: X5853
Gap Type: 0, Length: 3, Start Position: X5856
Gap Type: 0, Length: 1, Start Position: X5862
Gap Type: 0, Length: 2, Start Position: X5869
Gap Type: 0, Length: 1, Start Position: X5872
Gap Type: 0, Length: 1, Start Position: X5876
Gap Type: 0, Length: 2, Start Position: X5878
Gap Type: 0, Length: 4, Start Position: X5884
Gap Type: 0, Length: 1, Start Position: X5889
Gap Type: 0, Length: 2, Start Position: X5891
Gap Type: 0, Length: 1, Start Position: X5894
Gap Type: 0, Length: 1, Start Position: X5896
Gap Type: 0, Length: 1, Start Position: X5898
Gap Type: 0, Length: 1, Start Position: X5900
Gap Type: 0, Length: 2, Start Position: X5902
Gap Type: 0, Length: 1, Start Position: X5906
Gap Type: 0, Length: 1, Start Position: X5910
Gap Type: 0, Length: 1, Start Position: X5912
Gap Type: 0, Length: 1, Start Position: X5915
Gap Type: 0, Length: 5, Start Position: X5918
Gap Type: 0, Length: 2, Start Position: X5924
Gap Type: 0, Length: 2, Start Position: X5927
Gap Type: 0, Length: 1, Start Position: X5930
Gap Type: 0, Length: 1, Start Position: X5932
Gap Type: 0, Length: 3, Start Position: X5935
Gap Type: 0, Length: 1, Start Position: X5940
Gap Type: 0, Length: 2, Start Position: X5942
Gap Type: 0, Length: 1, Start Position: X5946
Gap Type: 0, Length: 5, Start Position: X5950
Gap Type: 0, Length: 2, Start Position: X5956
Gap Type: 0, Length: 5, Start Position: X5959
Gap Type: 0, Length: 1, Start Position: X5967
Gap Type: 0, Length: 5, Start Position: X5970
Gap Type: 0, Length: 3, Start Position: X5976
Gap Type: 0, Length: 2, Start Position: X5982
Gap Type: 0, Length: 2, Start Position: X5985
Gap Type: 0, Length: 1, Start Position: X5989
Gap Type: 0, Length: 1, Start Position: X5991
Gap Type: 0, Length: 1, Start Position: X5996
Gap Type: 0, Length: 1, Start Position: X5998
Gap Type: 0, Length: 1, Start Position: X6002
Gap Type: 0, Length: 1, Start Position: X6005
Gap Type: 0, Length: 2, Start Position: X6007
Gap Type: 0, Length: 3, Start Position: X6011
Gap Type: 0, Length: 3, Start Position: X6015
Gap Type: 0, Length: 1, Start Position: X6021
Gap Type: 0, Length: 1, Start Position: X6028
Gap Type: 0, Length: 1, Start Position: X6037
Gap Type: 0, Length: 1, Start Position: X6039
Gap Type: 0, Length: 2, Start Position: X6047
Gap Type: 0, Length: 2, Start Position: X6050
Gap Type: 0, Length: 3, Start Position: X6055
Gap Type: 0, Length: 2, Start Position: X6062
Gap Type: 0, Length: 1, Start Position: X6068
Gap Type: 0, Length: 1, Start Position: X6070
Gap Type: 0, Length: 2, Start Position: X6076
Gap Type: 0, Length: 2, Start Position: X6079
Gap Type: 0, Length: 1, Start Position: X6082
Gap Type: 0, Length: 5, Start Position: X6084
Gap Type: 0, Length: 4, Start Position: X6091
Gap Type: 0, Length: 2, Start Position: X6096
Gap Type: 0, Length: 1, Start Position: X6103
Gap Type: 0, Length: 1, Start Position: X6107
Gap Type: 0, Length: 2, Start Position: X6112
Gap Type: 0, Length: 1, Start Position: X6116
Gap Type: 0, Length: 1, Start Position: X6118
Gap Type: 0, Length: 3, Start Position: X6120
Gap Type: 0, Length: 1, Start Position: X6124
Gap Type: 0, Length: 4, Start Position: X6126
Gap Type: 0, Length: 1, Start Position: X6133
Gap Type: 0, Length: 1, Start Position: X6137
Gap Type: 0, Length: 1, Start Position: X6140
Gap Type: 0, Length: 1, Start Position: X6143
Gap Type: 0, Length: 2, Start Position: X6148
Gap Type: 0, Length: 1, Start Position: X6154
Gap Type: 0, Length: 1, Start Position: X6158
Gap Type: 0, Length: 2, Start Position: X6162
Gap Type: 0, Length: 4, Start Position: X6165
Gap Type: 0, Length: 1, Start Position: X6173
Gap Type: 0, Length: 1, Start Position: X6176
Gap Type: 0, Length: 2, Start Position: X6178
Gap Type: 0, Length: 3, Start Position: X6181
Gap Type: 0, Length: 2, Start Position: X6185
Gap Type: 0, Length: 1, Start Position: X6190
Gap Type: 0, Length: 2, Start Position: X6193
Gap Type: 0, Length: 4, Start Position: X6197
Gap Type: 0, Length: 1, Start Position: X6204
Gap Type: 0, Length: 8, Start Position: X6206
Gap Type: 0, Length: 1, Start Position: X6216
Gap Type: 0, Length: 1, Start Position: X6218
Gap Type: 0, Length: 1, Start Position: X6220
Gap Type: 0, Length: 1, Start Position: X6222
Gap Type: 0, Length: 3, Start Position: X6226
Gap Type: 0, Length: 1, Start Position: X6233
Gap Type: 0, Length: 1, Start Position: X6235
Gap Type: 0, Length: 1, Start Position: X6237
Gap Type: 0, Length: 2, Start Position: X6239
Gap Type: 0, Length: 2, Start Position: X6244
Gap Type: 0, Length: 2, Start Position: X6247
Gap Type: 0, Length: 1, Start Position: X6251
Gap Type: 0, Length: 3, Start Position: X6253
Gap Type: 0, Length: 1, Start Position: X6259
Gap Type: 0, Length: 1, Start Position: X6263
Gap Type: 0, Length: 1, Start Position: X6266
Gap Type: 0, Length: 2, Start Position: X6268
Gap Type: 0, Length: 2, Start Position: X6271
Gap Type: 0, Length: 1, Start Position: X6277
Gap Type: 0, Length: 1, Start Position: X6279
Gap Type: 0, Length: 1, Start Position: X6281
Gap Type: 0, Length: 3, Start Position: X6284
Gap Type: 0, Length: 3, Start Position: X6289
Gap Type: 0, Length: 1, Start Position: X6294
Gap Type: 0, Length: 1, Start Position: X6297
Gap Type: 0, Length: 2, Start Position: X6301
Gap Type: 0, Length: 1, Start Position: X6308
